Scientific Name,Status
Russula cyanoxantha,Only in app
Sagittaria sagittifolia,Only in app
Salvia glutinosa,Only in app
Salvia pratensis,Only in app
Salvia rosmarinus,Only in app
Sambucus nigra,Only in app
Sanguisorba minor,Only in app
Sanguisorba officinalis,Only in app
Saponaria officinalis,Only in app
Sarcoscypha coccinea,Only in app
Saxifraga granulata,Only in app
Scilla bifolia,Only in app
Scorzoneroides autumnalis,Only in app
Sedum album,Only in app
Senecio vulgaris,Only in app
Silaum silaus,Only in app
Silene dioica,Only in app
Silene flos-cuculi,Only in app
Silene latifolia,Only in app
Sinapis arvensis,Only in app
Sisymbrium officinale,Only in app
Sitta europaea,Only in app
Solanum nigrum,Only in app
Solanum tuberosum,Only in app
Solidago canadensis,Only in app
Solidago gigantea,Only in app
Sonchus arvensis,Only in app
Sonchus asper,Only in app
Sorbus aria,Only in app
Sparganium erectum,Only in app
Stachys palustris,Only in app
Stachys sylvatica,Only in app
Stellaria graminea,Only in app
Stellaria holostea,Only in app
Stellaria media,Only in app
Succisa pratensis,Only in app
Symphytum officinale,Only in app
Tanacetum vulgare,Only in app
Taxus baccata,Only in app
Thymus serpyllum,Only in app
Tilia tomentosa,Only in app
Tragopogon pratensis,Only in app
Trifolium medium,Only in app
Tripolium pannonicum,Only in app
Triticum aestivum,Only in app
Tussilago farfara,Only in app
Typha latifolia,Only in app
Ulmus glabra,Only in app
Ulmus minor,Only in app
Ulmus procera,Only in app
Urtica urens,Only in app
Vaccinium myrtillus,Only in app
Vaccinium vitis-idaea,Only in app
Valeriana officinalis,Only in app
Valerianella locusta,Only in app
Vanessa cardui,Only in app
Verbascum thapsus,Only in app
Verbena officinalis,Only in app
Veronica beccabunga,Only in app
Veronica officinalis,Only in app
Veronica teucrium,Only in app
Vespula vulgaris,Only in app
Vicia cracca,Only in app
Vicia sepium,Only in app
Viola arvensis,Only in app
Viola odorata,Only in app
Viola tricolor,Only in app
Vipera berus,Only in app
Viscum album,Only in app
Vitis vinifera,Only in app
Xylocopa violacea,Only in app
