Scientific Name,Status
Galium mollugo,In both app and Natuurpunt
Galium odoratum,In both app and Natuurpunt
Galium verum,In both app and Natuurpunt
Gallinula chloropus,In both app and Natuurpunt
Garrulus glandarius,In both app and Natuurpunt
Geranium pratense,In both app and Natuurpunt
Geranium robertianum,In both app and Natuurpunt
Geum urbanum,In both app and Natuurpunt
Glechoma hederacea,In both app and Natuurpunt
Gonepteryx rhamni,In both app and Natuurpunt
Hedera helix,In both app and Natuurpunt
Helianthus tuberosus,In both app and Natuurpunt
Heracleum sphondylium,In both app and Natuurpunt
Hippophae rhamnoides,In both app and Natuurpunt
Hirundo rustica,In both app and Natuurpunt
Humulus lupulus,In both app and Natuurpunt
Hyacinthoides non-scripta,In both app and Natuurpunt
Hylotelephium telephium,In both app and Natuurpunt
Hypericum perforatum,In both app and Natuurpunt
Hypholoma fasciculare,In both app and Natuurpunt
Hypochaeris radicata,In both app and Natuurpunt
Ilex aquifolium,In both app and Natuurpunt
Impatiens glandulifera,In both app and Natuurpunt
Impatiens noli-tangere,In both app and Natuurpunt
Inula helenium,In both app and Natuurpunt
Iris pseudacorus,In both app and Natuurpunt
Juglans regia,In both app and Natuurpunt
Juniperus communis,In both app and Natuurpunt
Knautia arvensis,In both app and Natuurpunt
Laccaria amethystina,In both app and Natuurpunt
Lacerta agilis,In both app and Natuurpunt
Lactuca serriola,In both app and Natuurpunt
Lamiastrum galeobdolon,In both app and Natuurpunt
Lamium album,In both app and Natuurpunt
Lapsana communis,In both app and Natuurpunt
Larix decidua,In both app and Natuurpunt
Larus argentatus,In both app and Natuurpunt
Lathyrus pratensis,In both app and Natuurpunt
Leccinum scabrum,In both app and Natuurpunt
Lemna minor,In both app and Natuurpunt
Lepidium campestre,In both app and Natuurpunt
Lepus europaeus,In both app and Natuurpunt
Leucanthemum vulgare,In both app and Natuurpunt
Ligustrum vulgare,In both app and Natuurpunt
Limenitis camilla,In both app and Natuurpunt
Linum usitatissimum,In both app and Natuurpunt
Lonicera caerulea,In both app and Natuurpunt
Lotus corniculatus,In both app and Natuurpunt
Lucanus cervus,In both app and Natuurpunt
Lycoperdon perlatum,In both app and Natuurpunt
Lysimachia nummularia,In both app and Natuurpunt
Lysimachia vulgaris,In both app and Natuurpunt
Lythrum salicaria,In both app and Natuurpunt
Macroglossum stellatarum,In both app and Natuurpunt
Macrolepiota procera,In both app and Natuurpunt
Maianthemum bifolium,In both app and Natuurpunt
Malva sylvestris,In both app and Natuurpunt
Martes foina,In both app and Natuurpunt
Matricaria chamomilla,In both app and Natuurpunt
Matricaria discoidea,In both app and Natuurpunt
